label,group,E_GPa_mean,E_GPa_std,nu_mean,nu_std,K_GPa_mean,K_GPa_std,sigma_max_GPa_mean,sigma_max_GPa_std,eps_y_mean,eps_y_std,anisotropy_mean,anisotropy_std
A_S2.5_d2,A,74.54809941158383,4.075475325804627,0.37447364985498316,0.05404801303966956,119.94747183497492,73.53869143283488,6.7207565740219835,0.06997438608181429,0.053743333333333,0.042764852780446734,0.015583787283018865,0.01191332654921606
A_S2_d2,A,80.3838792258541,2.227273827531677,0.3561380168204675,0.030169316485326454,96.0041816481973,20.604235042150464,7.489938798666887,0.044003748539378475,0.0347750000000007,0.04178293970031322,0.027458264215337425,0.019958968230516287
A_S3_d2,A,66.2882941610036,1.2279927941977946,0.37646386344752397,0.041970385201784685,99.25857300988885,43.4023745747702,5.889208549621323,0.033171260478263236,0.05377333333333406,0.008791713901927066,0.03129881684490743,0.01421553815400841
A_S4.5_d2,A,42.10869380663853,1.017752744795417,0.2956329396051917,0.0077909573297216496,34.391353371094205,2.0519275805916664,3.5293228020456304,0.0039675311034868795,0.005476666666666273,0.00048562674281052854,0.060890378011697686,0.028885469328027397
B_S4_aligned_high,B,58.62590334848608,2.7022901033603945,0.34768151543824793,0.04582733467384444,68.54754596536661,22.127870743095315,4.6093300450651,0.026100996108171817,0.0058533333333334265,0.0007659199261885877,0.11362670390846262,0.07184680101338399
B_S4_aligned_low,B,85.23110601765659,2.1639956445943493,0.37579336394021395,0.02261722768316121,117.61605375196858,26.77618855455132,7.63173331631108,0.014520113809668842,0.0272333333333338,0.017337394075620138,0.11108905559963107,0.0444953894366729
B_S4_quarter_high,B,50.07680349462066,1.7111620230202729,0.3267526022392067,0.011949317619311416,48.308090382498335,3.247339036312619,4.281055676660579,0.06015860625916673,0.033723333333333196,0.022795903871821305,0.06395981354698893,0.03706994413961432
B_S4_quarter_low,B,77.54694306119336,0.3780915620899481,0.34520040227220194,0.012677421442632257,83.86816209120094,6.917081834074242,7.3619680314134035,0.03005095046293178,0.08731666666666647,0.00866304988634711,0.04874236652215521,0.008913778314467252
C_d0_aligned,C,73.89806850398811,4.822823270080593,0.3847683614797153,0.056450630440036745,141.53275870954323,106.16135484024618,6.100461680612813,0.04855888788773792,0.017390000000000256,0.008248896895949698,0.15202568871970934,0.08437497061099727
C_d1_12pct,C,66.57590271400055,1.1691173878982157,0.31189525675087604,0.012931679923277995,59.22614563623083,5.20241503632385,5.823535120521036,0.04918329899467848,0.02057999999999971,0.021462348426954332,0.0331190930273814,0.026866119004054802
C_d3_37pct,C,63.36971801617321,3.167547499787358,0.3450154491852179,0.026377258630439004,69.9973591710725,16.474499510826668,5.880807984417307,0.04438237749502004,0.007270000000000827,0.0032480609600187,0.06063148761955278,0.03412222013641666
C_d4_50pct,C,64.221747108329,0.44327533654343243,0.39571257431175716,0.038053039623813914,115.78103961910513,54.038642277978575,5.6977109471183995,0.03570637705209658,0.018453333333333665,0.023007547312421554,0.09260359355863935,0.04292452627628646
D_AR0.5_tall,D,59.25781315760361,2.319127555000559,0.2887078176168947,0.008454630707877938,46.81826437806321,3.2823870511342044,5.244744893705037,0.02505419837784777,0.06547000000000047,0.010830517069836315,0.018750074991779147,0.008010290845402045
D_AR2.0_wide,D,74.97956422817958,2.081995354020016,0.42411282940528316,0.05607176264693097,316.72010157605564,332.0356684849745,6.667673661941623,0.06649053285950819,0.0050033333333336935,5.773502691523949e-06,0.07650898545514735,0.03695470643936308
D_AR2.5_vwide,D,71.57928865225436,1.1072789628038398,0.5294981910396519,0.04229965074808375,,,6.35133288872629,0.02642538941137942,0.005003333333333187,5.773502691260919e-06,0.16784129186345184,0.054441346855260024
P1_high_50pct,P1,51.50834396881771,0.9629661649020114,0.4036344633650233,0.027076185951478555,93.56294843081355,23.906695573608868,4.520031698322526,0.015014298772779018,0.005026666666667337,3.785938897185555e-05,0.056272150976715875,0.007957877654416265
bulk_si,P1,97.61746160481793,0.11722768739014117,0.33757047151263214,0.0010216060702588983,100.16705976087962,0.7508196924269581,9.978603118584227,0.01423692315164834,0.00532000000000043,0.00025455844122700106,0.0009571916146807006,0.0011879753717521598
