label,group,seed,E_GPa,R2_E,n_fit,nu,nu_y,nu_z,anisotropy,K_GPa,sigma_max_GPa,eps_y
bulk_si,P1,12345,97.61299961360109,0.9621494649415914,450,0.33746340615147086,0.3372280975619242,0.3376987147410176,0.0004706171790934133,100.09335672491538,9.98619741490331,0.00514000000000054
bulk_si,P1,34567,97.50252861847528,0.9845034230322085,450,0.3366066145337807,0.33656173974390724,0.3366514893236542,8.974957974694497e-05,99.4558096096995,9.96217921397699,
bulk_si,P1,56789,97.73685658237738,0.9471614945413338,450,0.3386413938526449,0.3397969978952458,0.33748578981004407,0.0023112080852017436,100.952012948024,9.98743272687238,0.00550000000000032
P1_high_50pct,P1,12345,50.57931158545132,0.9069476496358453,450,0.37254964867399876,0.3964610521272766,0.34863824522072095,0.04782280690655566,66.14250315151622,4.53537365700887,0.00501000000000061
P1_high_50pct,P1,34567,51.44373072667727,0.8881334968461876,450,0.42207869210365123,0.4538910933274417,0.3902662908798607,0.06362480244758101,110.03351140509587,4.51935338623786,0.00507000000000052
P1_high_50pct,P1,56789,52.501989594324534,0.9155103356472037,450,0.4162750493174199,0.38759062752941437,0.44495947110542533,0.057368843576010964,104.51283073582854,4.50536805172085,0.00500000000000088
A_S2_d2,A,12345,77.81242605534909,0.9482037031340322,450,0.3218744609059754,0.32408097550362897,0.31966794630832174,0.004413029195307228,72.80672800684628,7.52268890321332,
A_S2_d2,A,34567,81.7079483036239,0.9490400527148778,450,0.367820555448904,0.3874208484627184,0.3482202624350896,0.039200586027628825,103.02654418155822,7.50720751066976,0.00523000000000061
A_S2_d2,A,56789,81.63126331858929,0.9626207391796769,450,0.3787190341065231,0.39809962281806116,0.35933844539498494,0.03876117742307622,112.17927275618744,7.43991998211758,0.0643200000000008
A_S2.5_d2,A,12345,71.2015154647807,0.9369796589479531,450,0.3328183808492231,0.3346370378706244,0.3309997238278218,0.0036373140428025974,70.9822007013082,6.79313764439504,0.0923399999999993
A_S2.5_d2,A,34567,79.08666293345895,0.9508745791318247,450,0.43554823003799664,0.44337340987528423,0.42772305020070905,0.015650359674575176,204.51122593965326,6.71566507734575,0.0077700000000004
A_S2.5_d2,A,56789,73.35611983651187,0.9426880450729179,450,0.3550543386777296,0.368786182743569,0.3413224946118902,0.02746368813167882,84.34898886396329,6.65346700032516,0.0611199999999993
A_S3_d2,A,12345,64.9793075438538,0.9401426881480145,450,0.3485587000179279,0.37025034498498033,0.3268670550508754,0.04338328993410495,71.51209473191501,5.89492230763089,0.063870000000001
A_S3_d2,A,34567,67.41489109135422,0.9376140451201292,450,0.42473101385350387,0.416913016252286,0.43254901145472174,0.01563599520243575,149.2754952222166,5.91915178111594,0.0478100000000004
A_S3_d2,A,56789,66.4706838478028,0.9283856649616515,450,0.3561018764711402,0.37354045917023104,0.33866329377204946,0.03487716539818159,76.98812907553499,5.85355156011714,0.0496400000000008
A_S4.5_d2,A,12345,43.270959614608934,0.8665673007942938,450,0.30237268165814474,0.27970588907286953,0.32503947424341995,0.04533358517055042,36.492053137915995,3.52740324908481,0.00506000000000028
A_S4.5_d2,A,34567,41.37698104591351,0.8438616104533165,450,0.28710255272191504,0.3086613774683037,0.2655437279755264,0.0431176494927773,32.3919501892596,3.53388504856479,0.00600999999999904
A_S4.5_d2,A,56789,41.67814075939314,0.8414221933662343,450,0.29742358443551536,0.2503136347496327,0.34453353412139803,0.09421989937176534,34.29005678610701,3.52668010848729,0.0053599999999995
B_S4_aligned_low,B,12345,84.75317689225922,0.9618407702841917,450,0.36691404319629056,0.4121931079947856,0.32163497839779553,0.09055812959699006,106.13839221877608,7.63014376216159,0.0155200000000005
B_S4_aligned_low,B,34567,87.59411506273928,0.9512803473871052,449,0.40150289115277554,0.4825743928345384,0.3204313894710127,0.16214300336352572,148.21774311941743,7.64698280518683,0.0190299999999999
B_S4_aligned_low,B,56789,83.34602609797123,0.9625641784963336,450,0.35896315747157564,0.3992461743907644,0.3186801405523869,0.08056603383837746,98.49202591771224,7.61807338158482,0.047150000000001
B_S4_quarter_low,B,12345,77.42027450672114,0.9493030259112293,450,0.35930674734024526,0.3857661106295608,0.3328473840509297,0.052918726578631115,91.71284934081655,7.37933982826872,0.0930399999999996
B_S4_quarter_low,B,34567,77.9721053877907,0.951670310939826,450,0.3347597105795511,0.3540132931677391,0.3155061279913631,0.038507165176376035,78.64517148659093,7.32726819193025,0.0773499999999994
B_S4_quarter_low,B,56789,77.24844928906823,0.9527903249166936,450,0.34153474889680946,0.3689353528025387,0.3141341449910802,0.054801207811458474,81.24646544619534,7.37929607404124,0.0915600000000004
B_S4_aligned_high,B,12345,60.559430118456774,0.9249776418099397,450,0.3877977034822626,0.4777156384106538,0.2978797685538715,0.1798358698567823,89.9557198589117,4.60649166131219,0.00511000000000032
B_S4_aligned_high,B,34567,59.780101414134506,0.9276967040384114,450,0.35750925745810963,0.41941646408443733,0.2956020508317819,0.12381441325265541,69.92278977534272,4.58476424740736,0.0058100000000004
B_S4_aligned_high,B,56789,55.53817851286695,0.9190722969745448,450,0.2977375853743714,0.31635249968234647,0.2791226710663963,0.037229828615950145,45.764128261845414,4.63673422647575,0.00663999999999956
B_S4_quarter_high,B,12345,49.248741112135,0.8769337716245683,450,0.3162221836456761,0.2679827154290599,0.3644616518622923,0.09647893643323241,44.66329876759387,4.33776820342839,0.0416599999999996
B_S4_quarter_high,B,34567,52.04447878508988,0.8995203796076711,450,0.3242964836222673,0.28839375677687246,0.3601992104676622,0.07180545369078972,49.36770746731775,4.28743879852963,0.00802000000000028
B_S4_quarter_high,B,56789,48.937190586637115,0.8735455609724003,450,0.3397391394496767,0.35153666470814904,0.3279416141912044,0.02359505051694466,50.893264912583376,4.21796002802372,0.0514899999999997
C_d0_aligned,C,12345,70.83729737732747,0.9466351099110872,450,0.34915755928486847,0.39582859081880545,0.30248652775093154,0.0933420630678739,78.26853088283566,6.14081769949651,0.0241800000000004
C_d0_aligned,C,34567,79.45752149999826,0.9413676534076789,450,0.4498556486685081,0.5742154655932383,0.32549583174377783,0.2487196338494605,264.09595295099217,6.11399582621611,0.00820999999999957
C_d0_aligned,C,56789,71.39938663463859,0.9484341278727191,450,0.35529187648576954,0.4122995611066664,0.29828419186487276,0.11401536924179362,82.23379229480189,6.04657151612582,0.0197800000000008
C_d1_12pct,C,12345,66.13809579269994,0.9366442958994118,450,0.3097575327415276,0.3263339530973605,0.2931811123856948,0.03315284071166574,57.941931285371744,5.78799422896468,0.0453599999999994
C_d1_12pct,C,34567,67.90073532764028,0.9278019472013339,450,0.32576259318350465,0.3557467543296655,0.2957784320373438,0.05996832229232174,64.95039973357775,5.80294372757198,0.00787999999999892
C_d1_12pct,C,56789,65.68887702166143,0.9300337265285261,450,0.30016564432759585,0.30328370236667423,0.2970475862885175,0.006236116078156717,54.78610588974303,5.87966740502645,0.00850000000000081
C_d3_37pct,C,12345,61.822265777608365,0.9119319475307931,450,0.32301413598494066,0.334356397216494,0.31167187475338726,0.02268452246310676,58.21770580535182,5.91107702546589,0.00534000000000103
C_d3_37pct,C,34567,61.27335688235171,0.9024186249926024,450,0.3377755894561912,0.3729860493047216,0.30256512960766074,0.07042091969706088,62.951229798432834,5.90148734803883,0.00545000000000105
C_d3_37pct,C,56789,67.01353138855956,0.9305360197646817,450,0.37425662211452193,0.4186511324637673,0.3298621117652766,0.0887890206984907,88.82314190943285,5.8298595797472,0.0110200000000004
C_d4_50pct,C,12345,64.43666679122296,0.9318915057947728,450,0.37414030437969925,0.40379707069878296,0.3444835380606155,0.059313532638167465,85.32870203025972,5.72123268483189,0.0450199999999999
C_d4_50pct,C,34567,64.516593333722,0.929927522815277,450,0.4396500546817871,0.5101751830144285,0.3691249263491456,0.14105025666528292,178.1735757824336,5.71527568573004,0.00509000000000042
C_d4_50pct,C,56789,63.711981200042025,0.9343929162768063,450,0.3733473638737852,0.41207085956001904,0.33462386818755135,0.07744699137246769,83.8408410446221,5.65662447079327,0.00525000000000067
D_AR0.5_tall,D,12345,59.36776162115199,0.8982664008107824,450,0.2804920349027823,0.27538333054887865,0.28560073925668594,0.010217408707807296,45.07639133949623,5.23717068815323,0.061920000000001
D_AR0.5_tall,D,34567,61.52001093452566,0.9191578626819981,450,0.29738259699561964,0.2874203525007109,0.30734484149052843,0.019924488989817524,50.60441503898168,5.2727122862652,0.0568599999999993
D_AR0.5_tall,D,56789,56.88566691713317,0.8892437968616008,450,0.28824882095228205,0.30130298459113836,0.27519465731342574,0.026108327277712617,44.77398675571171,5.22435170669668,0.0776300000000011
D_AR2.0_wide,D,12345,76.91948023818954,0.9554310576171448,450,0.48163945735543545,0.5385782950464978,0.4247006196643731,0.11387767538212468,698.2317255654094,6.74442741997892,0.00500999999999993
