label,group,phi,S,stagger,neck_uc,AR,kappa,kappa_std
bulk_si,P1,0.0,0.0,0.0,8.0,1.0,12.03,0.29
P1_low_50pct,P1,6.84,3.0,50.0,5.0,1.0,7.63,0.99
P1_high_50pct,P1,28.27,4.0,50.0,4.0,1.0,2.59,0.02
A_S2_d2,A,8.54,2.0,25.0,4.0,1.0,4.56,0.1
A_S2.5_d2,A,12.63,2.5,25.0,3.5,1.0,4.02,0.22
A_S3_d2,A,17.5,3.0,25.0,3.0,1.0,3.16,0.21
A_S4.5_d2,A,36.78,4.5,25.0,1.5,1.0,1.28,0.02
B_S4_aligned_low,B,6.25,4.0,0.0,4.0,1.0,7.06,1.14
B_S4_quarter_low,B,7.29,4.0,25.0,2.0,1.0,4.39,0.14
B_S4_aligned_high,B,28.32,4.0,0.0,4.0,1.0,3.74,0.2
B_S4_quarter_high,B,29.57,4.0,25.0,2.0,1.0,1.82,0.04
C_d0_aligned,C,17.5,3.0,0.0,5.0,1.0,4.68,0.64
C_d1_12pct,C,17.5,3.0,12.5,4.0,1.0,3.83,0.57
C_d3_37pct,C,17.5,3.0,37.5,2.0,1.0,2.85,0.35
C_d4_50pct,C,17.5,3.0,50.0,2.0,1.0,2.91,0.16
D_AR0.5_tall,D,17.5,3.0,25.0,3.0,0.5,3.53,0.1
D_AR2.0_wide,D,17.5,3.0,25.0,3.0,2.0,3.22,0.18
D_AR2.5_vwide,D,17.5,3.0,25.0,3.0,2.5,2.69,0.1
V_S4d3_37pct,V,29.93,4.0,37.5,1.0,1.0,1.39,0.0
