label,phi,S,stagger,neck_uc,AR,kappa,E,kappa_std,E_std,nu,nu_std
A_S2.5_d2,12.63,2.5,25.0,3.5,1.0,4.02,74.54809941158383,0.22,4.075475325804627,0.3744736498549831,0.0540480130396695
A_S2_d2,8.54,2.0,25.0,4.0,1.0,4.56,80.3838792258541,0.1,2.227273827531677,0.3561380168204675,0.0301693164853264
A_S3_d2,17.5,3.0,25.0,3.0,1.0,3.16,66.2882941610036,0.21,1.2279927941977946,0.3764638634475239,0.0419703852017846
A_S4.5_d2,36.78,4.5,25.0,1.5,1.0,1.28,42.10869380663853,0.02,1.017752744795417,0.2956329396051917,0.0077909573297216
B_S4_aligned_high,28.320000000000004,4.0,0.0,4.0,1.0,3.74,58.62590334848608,0.2,2.7022901033603945,0.3476815154382479,0.0458273346738444
B_S4_aligned_low,8.01,4.0,0.0,4.0,1.0,7.06,85.23110601765659,1.14,2.1639956445943493,0.3757933639402139,0.0226172276831612
B_S4_quarter_high,29.570000000000004,4.0,25.0,2.0,1.0,1.82,50.07680349462066,0.04,1.7111620230202729,0.3267526022392067,0.0119493176193114
B_S4_quarter_low,8.59,4.0,25.0,2.0,1.0,4.39,77.54694306119336,0.14,0.3780915620899481,0.3452004022722019,0.0126774214426322
C_d0_aligned,16.6,3.0,0.0,5.0,1.0,4.68,73.89806850398811,0.64,4.822823270080593,0.3847683614797153,0.0564506304400367
C_d1_12pct,17.14,3.0,12.5,4.0,1.0,3.83,66.57590271400055,0.57,1.1691173878982155,0.311895256750876,0.0129316799232779
C_d3_37pct,17.68,3.0,37.5,2.0,1.0,2.85,63.36971801617321,0.35,3.167547499787358,0.3450154491852179,0.026377258630439
C_d4_50pct,17.72,3.0,50.0,2.0,1.0,2.91,64.221747108329,0.16,0.4432753365434324,0.3957125743117571,0.0380530396238139
D_AR0.5_tall,15.93,3.0,25.0,3.0,0.5,3.53,59.25781315760361,0.1,2.319127555000559,0.2887078176168947,0.0084546307078779
D_AR2.0_wide,15.93,3.0,25.0,3.0,2.0,3.22,74.97956422817958,0.18,2.081995354020016,0.4241128294052831,0.0560717626469309
D_AR2.5_vwide,19.63,3.0,25.0,3.0,2.5,2.69,71.57928865225436,0.1,1.1072789628038398,0.5294981910396519,0.0422996507480837
P1_high_50pct,28.27,4.0,50.0,4.0,1.0,2.59,51.50834396881771,0.02,0.9629661649020114,0.4036344633650233,0.0270761859514785
bulk_si,0.0,0.0,0.0,8.0,1.0,12.03,97.61746160481792,0.29,0.1172276873901411,0.3375704715126321,0.0010216060702588
