# Time-averaged data for fix E_log
# TimeStep v_E_xfr
0 0
10000 21.7279
20000 42.2057
30000 62.9356
40000 83.324
50000 104.208
60000 124.927
70000 145.176
80000 165.226
90000 185.573
100000 206.198
110000 227.192
120000 247.222
130000 267.843
140000 287.926
150000 308.321
160000 328.676
170000 349.037
180000 368.928
190000 389.72
200000 409.923
210000 429.482
220000 450.552
230000 470.805
240000 491.502
250000 511.938
260000 532.334
270000 552.458
280000 572.631
290000 592.807
300000 613.659
310000 634.049
320000 654.528
330000 675.214
340000 695.972
350000 716.331
360000 736.614
370000 757.319
380000 777.996
390000 798.169
400000 819.241
410000 839.62
420000 859.999
430000 880.837
440000 900.893
450000 920.729
460000 941.494
470000 962.266
480000 983.192
490000 1003.39
500000 1024.43
