# Time-averaged data for fix E_log
# TimeStep v_E_xfr
0 0
10000 21.861
20000 42.9877
30000 63.1693
40000 84.2886
50000 104.218
60000 124.375
70000 145.247
80000 165.953
90000 186.713
100000 206.995
110000 228.286
120000 248.63
130000 269.284
140000 290.351
150000 311.397
160000 332.817
170000 353.731
180000 374.672
190000 395.824
200000 417.179
210000 438.139
220000 458.881
230000 479.346
240000 500.563
250000 521.298
260000 542.702
270000 564.105
280000 584.929
290000 605.92
300000 625.999
310000 646.314
320000 666.869
330000 687.469
340000 708.197
350000 729.058
360000 749.614
370000 769.815
380000 790.814
390000 811.439
400000 832.188
410000 853.374
420000 874.762
430000 895.998
440000 917.01
450000 937.892
460000 958.448
470000 979.247
480000 1000.05
490000 1020.51
500000 1041.53
