# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 20 19843.000000000004
  1 6.5172 1000.39 286.052
  2 19.5516 1014.58 286.542
  3 32.586 957.86 290.541
  4 45.6204 1015.07 296.24
  5 58.6548 968.08 295.5
  6 71.6892 1000.2 300.565
  7 84.7236 1018.66 301.772
  8 97.758 948.94 297.782
  9 110.792 1016.28 301.133
  10 123.827 991.23 305.957
  11 136.861 978.48 314.423
  12 149.896 1014.86 305.556
  13 162.93 957.86 301.115
  14 175.964 1014.39 298.689
  15 188.999 982.31 298.205
  16 202.033 987.39 299.944
  17 215.068 1017.97 296.877
  18 228.102 949.56 298.535
  19 241.136 1014.74 294.869
  20 254.171 994.15 290.473
20000 20 19843
  1 6.5172 999.15 274.546
  2 19.5516 1014.65 281.833
  3 32.586 957.9 283.58
  4 45.6204 1015.02 289.7
  5 58.6548 968.56 296.452
  6 71.6892 999.75 297.386
  7 84.7236 1018.86 298.85
  8 97.758 948.51 304.213
  9 110.792 1016.42 305.373
  10 123.827 989.73 308.046
  11 136.861 980 322.897
  12 149.896 1014.71 315.124
  13 162.93 958.04 305.854
  14 175.964 1014.37 302.158
  15 188.999 983.57 299.962
  16 202.033 986.09 303.193
  17 215.068 1018.09 302.194
  18 228.102 949.47 293.886
  19 241.136 1014.79 290.587
  20 254.171 995.32 288.356
30000 20 19842.999999999996
  1 6.5172 999.06 272.802
  2 19.5516 1014.63 279.47
  3 32.586 957.62 285.546
  4 45.6204 1015.27 286.769
  5 58.6548 966.18 288.319
  6 71.6892 1002.15 296.162
  7 84.7236 1018.6 301.151
  8 97.758 948.74 302.03
  9 110.792 1016.43 306.222
  10 123.827 987.84 316.322
  11 136.861 981.9 328.505
  12 149.896 1015.14 319.195
  13 162.93 957.91 307.993
  14 175.964 1014.04 309.35
  15 188.999 985.81 303.012
  16 202.033 983.96 299.353
  17 215.068 1018.1 298.523
  18 228.102 949.45 298.165
  19 241.136 1014.71 290.695
  20 254.171 995.46 284.175
40000 20 19843
  1 6.5172 996.45 275.734
  2 19.5516 1014.5 279.154
  3 32.586 957.86 283.452
  4 45.6204 1015.07 291.418
  5 58.6548 967.75 297.023
  6 71.6892 1000.58 300.376
  7 84.7236 1018.67 300.626
  8 97.758 948.65 305.622
  9 110.792 1016.41 310.679
  10 123.827 985.57 313.922
  11 136.861 984.21 323.856
  12 149.896 1015.08 317.59
  13 162.93 958.01 308.912
  14 175.964 1014.03 304.299
  15 188.999 984 301.052
  16 202.033 985.69 298.107
  17 215.068 1018.06 303.241
  18 228.102 949.55 295.007
  19 241.136 1014.76 289.142
  20 254.171 998.1 282.722
50000 20 19842.999999999996
  1 6.5172 997.65 275.467
  2 19.5516 1014.47 280.281
  3 32.586 957.81 288.024
  4 45.6204 1015.15 289.497
  5 58.6548 963.98 292.388
  6 71.6892 1004.33 296.246
  7 84.7236 1018.57 294.67
  8 97.758 948.66 304.616
  9 110.792 1016.48 307.327
  10 123.827 986.87 315.253
  11 136.861 982.97 323.173
  12 149.896 1015.22 319.635
  13 162.93 958.09 314.434
  14 175.964 1013.8 309.364
  15 188.999 986.88 306.47
  16 202.033 982.82 303.985
  17 215.068 1018.09 300.579
  18 228.102 949.71 294.327
  19 241.136 1014.48 289.145
  20 254.171 996.97 281.03
60000 20 19842.999999999996
  1 6.5172 994.71 271.638
  2 19.5516 1014.97 278.95
  3 32.586 957.68 280.93
  4 45.6204 1014.81 286.198
  5 58.6548 968.96 293.501
  6 71.6892 999.33 295.197
  7 84.7236 1018.77 298.715
  8 97.758 948.58 301.739
  9 110.792 1016.35 307.823
  10 123.827 984.97 315.055
  11 136.861 984.83 330.172
  12 149.896 1014.97 327.808
  13 162.93 958.16 316.36
