# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 20 19843
  1 6.5172 978.61 286.646
  2 19.5516 1014.58 295.495
  3 32.586 958.41 294.715
  4 45.6204 1014.11 294.031
  5 58.6548 963.25 301.483
  6 71.6892 1006.42 301.4
  7 84.7236 1015.83 301.256
  8 97.758 949.18 302.203
  9 110.792 1017.43 301.667
  10 123.827 981.95 307.187
  11 136.861 987.85 312.004
  12 149.896 1014.54 305.801
  13 162.93 958.47 296.676
  14 175.964 1014.44 298.404
  15 188.999 993.64 297.943
  16 202.033 975.36 296.997
  17 215.068 1019.2 299.309
  18 228.102 946.95 300.071
  19 241.136 1017.3 297.103
  20 254.171 1015.48 295.631
20000 20 19843
  1 6.5172 977.27 277.078
  2 19.5516 1014.76 282.99
  3 32.586 958.52 288.374
  4 45.6204 1013.84 295.87
  5 58.6548 966.21 296.07
  6 71.6892 1003.43 298.005
  7 84.7236 1015.91 303.01
  8 97.758 949 308.325
  9 110.792 1017.49 309.3
  10 123.827 979.9 315.507
  11 136.861 989.92 323.693
  12 149.896 1014.53 310.118
  13 162.93 958.57 302.017
  14 175.964 1014.4 304.659
  15 188.999 989.85 302.111
  16 202.033 979.09 298.131
  17 215.068 1019.06 300.217
  18 228.102 947.2 295.811
  19 241.136 1017.21 294.378
  20 254.171 1016.84 287.424
30000 20 19843
  1 6.5172 977.66 277.834
  2 19.5516 1014.63 284.106
  3 32.586 958.43 289.323
  4 45.6204 1014.01 294.074
  5 58.6548 966.69 293.113
  6 71.6892 1003.04 295.862
  7 84.7236 1016.09 300.2
  8 97.758 948.77 309.238
  9 110.792 1017.54 309.95
  10 123.827 981.04 315.09
  11 136.861 988.71 322.779
  12 149.896 1014.59 313.434
  13 162.93 958.51 308.893
  14 175.964 1014.35 307.17
  15 188.999 988.73 309.324
  16 202.033 980.38 306.231
  17 215.068 1018.95 299.375
  18 228.102 947.36 288.665
  19 241.136 1017.04 289.845
  20 254.171 1016.48 286.116
40000 20 19843
  1 6.5172 976.49 278.066
  2 19.5516 1014.73 283.317
  3 32.586 958.3 286.731
  4 45.6204 1014.05 294.789
  5 58.6548 969.54 297.349
  6 71.6892 1000.2 297.268
  7 84.7236 1015.96 305.803
  8 97.758 949.28 306.31
  9 110.792 1017.15 309.235
  10 123.827 979.21 317.325
  11 136.861 990.58 324.73
  12 149.896 1014.52 315.83
  13 162.93 958.62 308.194
  14 175.964 1014.21 307.488
  15 188.999 988.16 306.51
  16 202.033 980.85 301.992
  17 215.068 1019.04 296.27
  18 228.102 946.96 291.311
  19 241.136 1017.59 291.974
  20 254.171 1017.56 282.299
50000 20 19842.999999999996
  1 6.5172 981 271.362
  2 19.5516 1014.58 282.685
  3 32.586 958.54 288.956
  4 45.6204 1013.95 294.081
  5 58.6548 972.26 298.955
  6 71.6892 997.57 300.532
  7 84.7236 1016.28 304.094
  8 97.758 948.83 308.906
  9 110.792 1017.22 313.012
  10 123.827 981.83 319.064
  11 136.861 987.88 327.335
  12 149.896 1014.54 316.745
  13 162.93 958.56 310.744
  14 175.964 1014.31 307.27
  15 188.999 985.93 300.841
  16 202.033 983.06 302.167
  17 215.068 1018.93 298.02
  18 228.102 946.98 292.577
  19 241.136 1017.61 287.042
  20 254.171 1013.14 282.205
60000 20 19843.000000000004
  1 6.5172 979 276.034
  2 19.5516 1014.74 279.195
  3 32.586 958.27 287.602
  4 45.6204 1014.08 291.064
  5 58.6548 969.51 298.749
  6 71.6892 1000.18 300.052
  7 84.7236 1016.18 303.751
  8 97.758 948.93 306.874
  9 110.792 1017.3 308.487
  10 123.827 979.27 315.154
  11 136.861 990.5 327.818
  12 149.896 1014.52 323.132
  13 162.93 958.61 313.091
  14 175.964 1014.34 306.558
  15 188.999 988.38 304.332
  16 202.033 980.53 298.616
  17 215.068 1019.14 298.86
  18 228.102 947.02 294.666
  19 241.136 1017.42 284.83
  20 254.171 1015.08 281.626
70000 20 19843
  1 6.5172 978.84 271.245
  2 19.5516 1014.59 278.568
  3 32.586 958.61 288.352
  4 45.6204 1013.9 293.325
  5 58.6548 970.31 298.501
  6 71.6892 999.42 304.543
  7 84.7236 1016.29 305.786
  8 97.758 948.84 306.467
  9 110.792 1017.23 313.012
  10 123.827 977.93 313.827
  11 136.861 991.91 331.365
  12 149.896 1014.58 322.254
  13 162.93 958.43 306.981
  14 175.964 1014.34 307.94
  15 188.999 987.85 308.276
  16 202.033 981.17 298.644
  17 215.068 1019.09 299.587
  18 228.102 947.2 291.926
  19 241.136 1017.21 284.28
  20 254.171 1015.26 277.794
80000 20 19842.999999999993
  1 6.5172 979.22 275.396
  2 19.5516 1014.6 277.083
  3 32.586 958.24 291.168
  4 45.6204 1014.2 288.422
  5 58.6548 967.42 294.107
  6 71.6892 1002.33 304.47
  7 84.7236 1016.12 305.293
  8 97.758 949 306.276
  9 110.792 1017.26 314.767
  10 123.827 978.47 318.231
  11 136.861 991.32 325.364
  12 149.896 1014.74 320.49
  13 162.93 958.47 311.757
  14 175.964 1014.16 308.77
  15 188.999 989.12 305.82
  16 202.033 980.01 300.231
  17 215.068 1019.02 300.949
  18 228.102 947.51 291.309
  19 241.136 1016.94 285.718
  20 254.171 1014.85 281.125
90000 20 19843.000000000004
  1 6.5172 976.54 275.47
  2 19.5516 1014.49 281.89
  3 32.586 958.54 286.747
  4 45.6204 1014.07 294.439
  5 58.6548 968.6 294.157
  6 71.6892 1000.99 300.025
  7 84.7236 1016.37 299.732
  8 97.758 948.81 302.347
  9 110.792 1017.29 312.604
  10 123.827 977.48 319.433
  11 136.861 992.34 331.231
  12 149.896 1014.62 318.594
  13 162.93 958.46 316.877
  14 175.964 1014.23 310.628
  15 188.999 985.8 308.133
  16 202.033 983.2 301.841
  17 215.068 1019.23 297.903
  18 228.102 947.54 290.64
  19 241.136 1016.82 286.382
  20 254.171 1017.58 280.497
100000 20 19843
  1 6.5172 976.96 275.858
  2 19.5516 1014.6 280.26
  3 32.586 958.35 283.686
  4 45.6204 1014.11 290.447
