# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 4 19843
  1 35.3949 5421.53 291.716
  2 106.185 5380.23 303.738
  3 176.975 5377.74 300.846
  4 247.764 3663.5 294.855
20000 4 19843
  1 35.3949 5420.78 286.346
  2 106.185 5379.78 306.336
  3 176.975 5377.77 305.647
  4 247.764 3664.67 292.822
30000 4 19843
  1 35.3949 5420 283.595
  2 106.185 5380.43 309.093
  3 176.975 5377.76 307.647
  4 247.764 3664.81 292.498
40000 4 19843
  1 35.3949 5417.54 286.623
  2 106.185 5380.21 309.576
  3 176.975 5377.83 306.368
  4 247.764 3667.42 291.423
50000 4 19843
  1 35.3949 5417.78 285.99
  2 106.185 5381.15 307.342
  3 176.975 5377.86 310.565
  4 247.764 3666.21 290.431
60000 4 19843
  1 35.3949 5416.65 283.351
  2 106.185 5379.34 308.738
  3 176.975 5377.82 312.957
  4 247.764 3669.19 289.172
70000 4 19843
  1 35.3949 5420.18 280.845
  2 106.185 5379.52 310.459
  3 176.975 5377.83 312.938
  4 247.764 3665.47 290.327
80000 4 19843
  1 35.3949 5419.01 283.022
  2 106.185 5378.85 309.753
  3 176.975 5377.83 313.201
  4 247.764 3667.31 289.656
90000 4 19842.999999999996
  1 35.3949 5419.98 287.018
  2 106.185 5379.12 310.097
  3 176.975 5377.78 309.112
  4 247.764 3666.12 287.369
100000 4 19842.999999999996
  1 35.3949 5417.73 286.26
  2 106.185 5379.12 314.063
  3 176.975 5377.8 308.025
  4 247.764 3668.35 285.483
110000 4 19843
  1 35.3949 5417.65 285.88
  2 106.185 5379.12 313.657
  3 176.975 5377.76 311.239
  4 247.764 3668.47 284.852
120000 4 19843
  1 35.3949 5413.74 286.704
  2 106.185 5380.07 312.723
  3 176.975 5377.83 309.909
  4 247.764 3671.36 287.285
130000 4 19843
  1 35.3949 5415.87 289.63
  2 106.185 5379.1 311.74
  3 176.975 5377.77 309.303
  4 247.764 3670.26 288.085
140000 4 19843
  1 35.3949 5417.66 287.34
  2 106.185 5379.22 314.359
  3 176.975 5377.78 309.617
  4 247.764 3668.34 287.537
150000 4 19843
  1 35.3949 5416.46 283.2
  2 106.185 5378.23 312.734
  3 176.975 5377.73 312.898
  4 247.764 3670.58 289.492
160000 4 19843
  1 35.3949 5417.12 284.536
  2 106.185 5377.98 313.478
  3 176.975 5377.67 313.519
  4 247.764 3670.23 287.409
170000 4 19843
  1 35.3949 5413.77 286.092
  2 106.185 5377.88 313.45
  3 176.975 5377.68 313.686
  4 247.764 3673.67 284.515
180000 4 19843
  1 35.3949 5415.67 285.652
  2 106.185 5377.91 313.508
  3 176.975 5377.67 311.009
  4 247.764 3671.75 288.619
190000 4 19843
  1 35.3949 5415.63 286.726
  2 106.185 5377.81 315.459
  3 176.975 5377.67 307.173
  4 247.764 3671.89 289.789
200000 4 19843
  1 35.3949 5417.34 287.018
  2 106.185 5377.76 314.713
  3 176.975 5377.75 307.992
  4 247.764 3670.15 290.084
210000 4 19843
  1 35.3949 5412.53 287.003
  2 106.185 5377.95 313.064
  3 176.975 5377.72 307.883
  4 247.764 3674.8 292.528
220000 4 19843
  1 35.3949 5417.05 288.223
  2 106.185 5377.57 313.456
  3 176.975 5377.73 307.303
  4 247.764 3670.65 290.486
230000 4 19843
  1 35.3949 5417.88 286.798
  2 106.185 5377.53 312.584
  3 176.975 5377.68 310.596
  4 247.764 3669.91 288.333
240000 4 19843
  1 35.3949 5415.11 284.921
  2 106.185 5377.51 313.194
  3 176.975 5377.66 312.062
  4 247.764 3672.72 289.159
250000 4 19843
  1 35.3949 5415.32 286.91
  2 106.185 5377.84 312.415
  3 176.975 5377.65 311.43
  4 247.764 3672.19 287.736
260000 4 19843
  1 35.3949 5415.27 285.51
  2 106.185 5377.76 314.538
  3 176.975 5377.67 311.513
  4 247.764 3672.3 287.948
270000 4 19843
  1 35.3949 5416.4 285.429
  2 106.185 5377.6 315.339
  3 176.975 5377.57 310.011
  4 247.764 3671.43 289.448
280000 4 19843
  1 35.3949 5417.71 286.465
  2 106.185 5377.29 315.676
  3 176.975 5377.61 308.971
  4 247.764 3670.39 288.858
290000 4 19843
  1 35.3949 5418.03 290.117
  2 106.185 5377.31 311.881
  3 176.975 5377.6 310.65
  4 247.764 3670.06 287.92
300000 4 19843
  1 35.3949 5415.98 289.675
  2 106.185 5377.28 313.134
  3 176.975 5377.56 309.493
  4 247.764 3672.18 287.386
310000 4 19843
  1 35.3949 5415.32 288.626
  2 106.185 5377.34 313.124
  3 176.975 5377.59 308.189
  4 247.764 3672.75 290.318
320000 4 19843
  1 35.3949 5414.66 287.077
  2 106.185 5377.16 314.145
  3 176.975 5377.59 308.826
  4 247.764 3673.59 291.816
330000 4 19843
  1 35.3949 5414.56 287.123
  2 106.185 5377.29 313.952
  3 176.975 5377.61 310.163
  4 247.764 3673.54 289.051
340000 4 19843
  1 35.3949 5415.95 287.81
  2 106.185 5376.97 313.236
  3 176.975 5377.58 310.369
  4 247.764 3672.5 290.284
350000 4 19842.999999999996
  1 35.3949 5415.16 288.329
  2 106.185 5377.21 310.998
  3 176.975 5377.53 310.252
  4 247.764 3673.1 291.643
360000 4 19843
  1 35.3949 5415.62 286.427
  2 106.185 5376.82 312.352
  3 176.975 5377.54 311.261
  4 247.764 3673.02 290.184
370000 4 19843
  1 35.3949 5414.4 286.886
  2 106.185 5376.8 314.345
  3 176.975 5377.57 308.787
  4 247.764 3674.23 291.486
380000 4 19843
  1 35.3949 5416.65 287.581
  2 106.185 5377.2 316.076
  3 176.975 5377.49 308.065
  4 247.764 3671.66 290.237
390000 4 19843
  1 35.3949 5415.04 287.095
  2 106.185 5377.03 311.491
  3 176.975 5377.58 314.714
  4 247.764 3673.35 287.302
400000 4 19843
  1 35.3949 5415.71 286.293
  2 106.185 5377.05 310.489
  3 176.975 5377.5 315.407
  4 247.764 3672.74 287.222
410000 4 19843
  1 35.3949 5414.3 285.863
  2 106.185 5376.88 311.614
  3 176.975 5377.54 312.736
  4 247.764 3674.28 290.569
420000 4 19843
  1 35.3949 5416 286.829
  2 106.185 5376.92 310.853
  3 176.975 5377.57 313.425
  4 247.764 3672.51 290.516
430000 4 19843
  1 35.3949 5414.39 286.54
  2 106.185 5377.05 311.646
  3 176.975 5377.5 311.724
  4 247.764 3674.06 291.431
440000 4 19843
  1 35.3949 5413.78 287.274
  2 106.185 5377.13 312.403
  3 176.975 5377.54 309.905
  4 247.764 3674.55 292.041
450000 4 19843
  1 35.3949 5415.77 286.697
  2 106.185 5377.79 314.257
  3 176.975 5377.59 309.758
  4 247.764 3671.85 290.636
460000 4 19843
  1 35.3949 5415.62 287.307
  2 106.185 5377.46 314.412
  3 176.975 5377.5 310.552
  4 247.764 3672.42 289.176
470000 4 19843
  1 35.3949 5415.69 287.706
  2 106.185 5378.13 313.715
  3 176.975 5377.55 311.098
  4 247.764 3671.63 288.896
480000 4 19843
  1 35.3949 5415.87 287.112
  2 106.185 5378.33 312.196
  3 176.975 5377.5 311.705
  4 247.764 3671.3 290.549
490000 4 19843
  1 35.3949 5416.41 285.701
  2 106.185 5378.03 314.899
  3 176.975 5377.56 309.473
  4 247.764 3671 292.404
500000 4 19843
  1 35.3949 5415.12 284.494
  2 106.185 5379.02 317.585
  3 176.975 5377.55 311.168
  4 247.764 3671.31 287.263
